0,0,0,0,0,0,0,0,0,0
1,15.8427,50.5971,54.1225,23.544,259.61,0,0.31669,10.2057,97.874
2,28.3126,86.6047,97.5048,115.517,382.957,0,54.071,419.358,808.567
3,38.1279,112.23,132.278,167.933,449.294,0,198.433,1142.06,1768.66
4,45.8536,130.466,160.151,206.951,492.955,0,400.183,1952.49,2814.05
5,51.9345,143.444,182.493,237.798,523.028,0,631.344,2744.06,3845.27
6,56.7209,152.679,200.401,262.706,544.268,0,871.409,3466.6,4806.22
7,60.4884,159.252,214.755,282.999,559.494,0,1106.35,4100.65,5669.16
8,63.4538,163.929,226.261,299.596,570.512,0,1327.25,4643.2,6424.16
9,65.7879,167.258,235.484,313.189,578.535,0,1529.04,5099.61,7072.11
10,65.4323,169.627,242.876,324.322,584.4,0,1709.4,5478.99,7619.94
11,53.7903,171.313,248.801,320.736,594.085,0,1850.22,5767.33,8087.6
12,42.6046,172.512,253.551,286.493,616.445,0,1823.18,5797.19,8581.28
13,33.6095,154.989,256.863,249.59,635.596,0,1644.49,5570.84,9139.39
14,26.487,110.577,212.206,232.341,563.266,0,1430.75,5095.44,9351.98
15,20.8662,78.7065,170.135,216.619,492.196,0,1246.69,4454.73,8964.8
16,16.4356,56.015,136.379,200.45,430.599,0,1082.73,3785.6,8243.75
17,12.9449,39.8646,109.318,184.351,377.253,0,934.306,3156.95,7369.79
18,10.1954,28.3705,87.6253,168.668,331.034,0,799.981,2598.6,6456.29
19,8.03007,20.1904,70.2372,153.631,290.958,0,679.391,2119.18,5570.96
20,6.3252,14.3689,56.2995,139.382,256.17,0,572.338,1716.47,4751.31
21,4.98372,10.2259,45.1275,126.006,225.93,0,478.431,1383.22,4015.27
22,3.92922,7.27746,36.1725,113.549,199.601,0,397.016,1110.34,3368.46
23,3.10128,5.17919,28.9945,102.03,176.634,0,327.21,888.624,2809.11
24,2.45232,3.68595,23.2409,91.4456,156.56,790.747,267.976,709.518,2331.28
25,1.94525,2.62333,18.6291,81.7817,138.976,3186.49,218.196,565.482,1926.99
26,1.55137,1.86717,14.9325,73.0199,123.534,6327.46,176.744,450.071,1587.51
27,1.24885,1.32913,11.9696,65.1465,109.932,9674.39,142.537,357.892,1304.18
28,1.02166,0.946353,9.59476,58.1612,97.9056,12920.5,114.576,284.506,1068.86
29,0.858907,0.674109,7.69135,52.0888,87.2156,15905.2,91.9653,226.301,874.177
30,0.754692,0.480598,6.16586,46.9975,77.6416,18557.7,73.9314,180.376,713.583
31,0.708522,0.343223,4.94341,43.0242,68.9697,20860.4,59.8383,144.429,581.381
32,1.19622,0.245954,3.96399,40.4118,60.9828,22826.2,49.2079,116.662,472.666
33,6.66364,0.177469,3.1796,50.4996,51.8996,24483.4,43.4153,97.5559,383.062
34,16.37,0.129839,2.55186,135.437,29.3223,25867.1,94.918,104.27,304.681
35,26.6015,0.106216,2.05019,233.582,14.1242,27013.9,344.616,109.705,236.133
