0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
21.1852,19,0,0
21.8474,83,0,0
22.1745,122,22.1786,20
22.4057,144,22.3921,39
22.5841,166,22.5839,57
22.7456,166,22.7394,71
22.8925,170,22.8849,80
23.0244,168,23.0214,86
23.1577,180,23.157,92
23.2747,184,23.2586,101
23.376,184,23.3522,102
23.4739,194,23.4873,109
23.5751,195,23.5753,111
23.6685,199,23.6682,119
23.7558,200,23.7517,126
23.8253,207,23.8325,127
23.9064,211,23.8947,130
23.9877,213,23.9895,132
24.0619,216,24.0625,131
24.1179,219,24.1308,135
24.2047,232,24.1982,135
24.2658,238,24.2709,137
24.3388,240,24.3367,135
24.4031,234,24.404,136
24.4615,237,24.4646,139
24.5235,237,24.5047,142
24.5956,242,24.5899,147
24.6504,247,24.6571,148
24.7159,249,24.718,152
24.7779,253,24.7767,159
24.8372,262,24.8382,161
24.8913,261,24.8835,166
24.9423,260,24.9409,169
25.0014,261,24.9968,166
25.056,261,25.055,167
25.1104,260,25.1047,170
25.1635,265,25.1649,165
25.2143,272,25.197,163
25.2699,277,25.2707,162
25.3284,278,25.3299,169
25.3816,278,25.3832,173
25.4363,279,25.4145,172
25.483,278,25.4757,172
25.5304,276,25.5277,174
25.5783,281,25.5844,184
25.6336,283,25.6359,184
25.6819,286,25.6813,184
25.7255,283,25.723,184
25.7782,285,25.764,185
25.8295,283,25.8332,190
25.882,281,25.8859,191
25.9294,289,25.9314,193
25.9759,287,25.9743,192
26.0261,287,26.0251,193
26.0517,293,26.0681,195
26.1227,296,26.1037,194
26.1689,292,26.1671,190
26.2143,298,26.2072,188
26.2648,304,26.2621,187
26.3065,308,26.3075,190
26.3471,309,26.3506,194
26.3932,305,26.3925,196
26.4365,301,26.4421,199
26.4883,299,26.4825,196
26.5312,290,26.5251,197
26.5818,291,26.5784,194
26.6229,295,26.6235,198
26.6748,299,26.6722,198
26.7202,302,26.7117,200
26.7563,304,26.7655,202
26.8056,305,26.8085,207
26.8549,309,26.8513,203
26.8945,307,26.9002,202
26.9378,314,26.9464,204
26.9828,319,26.9884,204
27.0362,326,27.0307,203
27.0739,329,27.0753,201
27.1066,325,27.1044,201
27.1622,323,27.1584,203
27.2108,325,27.2019,203
27.251,324,27.2383,207
27.2978,324,27.2955,208
27.3216,323,27.3381,207
27.382,327,27.3674,213
27.4253,328,27.4236,214
